iter	Logloss
0	0.6861849581
1	0.6798832068
2	0.6736865526
3	0.6673142937
4	0.6614429602
5	0.6557323584
6	0.6502316078
7	0.6445463802
8	0.6386382285
9	0.6328973663
10	0.6275237008
11	0.6219839032
12	0.6166287111
13	0.6120324724
14	0.6073306652
15	0.6023191816
16	0.5977721482
17	0.5935228326
18	0.5890665804
19	0.5847600444
20	0.5808499797
21	0.5774518559
22	0.5733706014
23	0.5693893433
24	0.5659592018
25	0.5619905022
26	0.5586455699
27	0.5547719805
28	0.5517209514
29	0.5485039186
30	0.5444529673
31	0.5410794462
32	0.5381971209
33	0.5347101447
34	0.5314501216
35	0.5287216701
36	0.5251805166
37	0.5222140537
38	0.5191972282
39	0.5165432705
40	0.5134410215
41	0.5110677655
42	0.5084545693
43	0.5061522066
44	0.5038559731
45	0.5011102055
46	0.4990771004
47	0.4965108379
48	0.4938334776
49	0.4918074018
50	0.4896418539
51	0.4876358375
52	0.4858780336
53	0.4836687238
54	0.481391821
55	0.4792432892
56	0.4770575105
57	0.4756966494
58	0.4739313018
59	0.4716979038
60	0.4694708921
61	0.4675959041
62	0.4661540771
63	0.4642994913
64	0.463007209
65	0.461738715
66	0.45982498
67	0.45814317
68	0.4566570668
69	0.4551583622
70	0.4536696445
71	0.4523145697
72	0.4507452718
73	0.4492698412
74	0.4477659075
75	0.4464407074
76	0.4448488643
77	0.4435052336
78	0.4424681931
79	0.4412729499
80	0.440368138
81	0.4397665302
82	0.438295943
83	0.437074897
84	0.4360825614
85	0.4350877398
86	0.4339612468
87	0.4330436621
88	0.4318089003
89	0.430814593
90	0.4296380375
91	0.4283912316
92	0.427413769
93	0.4265988382
94	0.4259625981
95	0.4250117956
96	0.423945952
97	0.4228955815
98	0.422019787
99	0.4208754636
100	0.41986264
101	0.419148263
102	0.4180156836
103	0.4170526226
104	0.416309271
105	0.4155602616
106	0.4148027227
107	0.4140533276
108	0.4132159801
109	0.4125013887
110	0.4117417925
111	0.41108275
112	0.4102366587
113	0.4094028687
114	0.4087010073
115	0.4076190906
116	0.4069312449
117	0.4063445531
118	0.4056942115
119	0.4049656043
120	0.4043803697
121	0.4036310603
122	0.4029681602
123	0.402437703
124	0.4015928976
125	0.4010067629
126	0.400593104
127	0.3998674971
128	0.399142276
129	0.3985141797
130	0.3979425752
131	0.3973400673
132	0.3968744171
133	0.3962507355
134	0.3958263612
135	0.395492168
136	0.3950281036
137	0.3943625461
138	0.3937347069
139	0.3931278272
140	0.3926073996
141	0.3920630123
142	0.3913067593
143	0.3909614649
144	0.3903817166
145	0.3900574245
146	0.3896076331
147	0.3889997675
148	0.3885348888
149	0.3881136005
150	0.3876360775
151	0.3871854718
152	0.3870314695
153	0.3864051733
154	0.3859461238
155	0.385679095
156	0.385200329
157	0.3848184736
158	0.3842493122
159	0.3838455543
160	0.383364731
161	0.3830462252
162	0.3825694738
163	0.3820551326
164	0.3815788098
165	0.3813003369
166	0.3807450198
167	0.3804012684
168	0.3799422189
169	0.3795573202
170	0.3794104758
171	0.3789517263
172	0.3787114004
173	0.3784030529
174	0.3780198258
175	0.3775652768
176	0.3770955975
177	0.3767956509
178	0.3766625222
179	0.3763644615
180	0.3759562032
181	0.3756706581
182	0.3752134516
183	0.3747805478
184	0.3743830477
185	0.374175511
186	0.3738026137
187	0.3735333989
188	0.3732430104
189	0.3729779533
190	0.3725573936
191	0.3722439884
192	0.3718863069
193	0.3716380087
194	0.3713525493
195	0.3708925997
196	0.3707167379
197	0.370385245
198	0.3701233596
199	0.3698697894
200	0.3695453258
201	0.3693208587
202	0.3689975524
203	0.3686211832
204	0.3684050314
205	0.3683577548
206	0.3680567366
207	0.367822197
208	0.3674646013
209	0.3672422345
210	0.3670583146
211	0.3667581108
212	0.3664827668
213	0.3660825236
214	0.3657998932
215	0.3654292246
216	0.3651563666
217	0.3648447615
218	0.3645281845
219	0.3643442218
220	0.3641238695
221	0.3638450537
222	0.3637867617
223	0.3634535543
224	0.3631592654
225	0.3629123816
226	0.3626629261
227	0.3622449382
228	0.3620333725
229	0.3618061194
230	0.361591382
231	0.3612013399
232	0.361044423
233	0.3608221847
234	0.3604948065
235	0.360206604
236	0.3600207554
237	0.3598066609
238	0.3596170833
239	0.3593930662
240	0.3590215619
241	0.3586682952
242	0.3584574153
243	0.3581481676
244	0.3579144639
245	0.3576627581
246	0.3575147136
247	0.3573380802
248	0.3570946468
249	0.3569390586
250	0.3566363474
251	0.3564081513
252	0.3561258423
253	0.3559435084
254	0.3556336606
255	0.3555228844
256	0.3552828371
257	0.3551557734
258	0.3549963062
259	0.3546268592
260	0.3545305059
261	0.3543716388
262	0.354062434
263	0.3538104068
264	0.3536487751
265	0.3534354306
266	0.3533018519
267	0.3531073024
268	0.3528876358
269	0.3526813207
270	0.3524920646
271	0.3521840599
272	0.3520319649
273	0.3520115627
274	0.3518438661
275	0.3516438516
276	0.3514899993
277	0.3514295857
278	0.3512945282
279	0.351055081
280	0.3508605528
281	0.3507208235
282	0.350559749
283	0.350348569
284	0.3502486797
285	0.350075111
286	0.3499339457
287	0.3497702352
288	0.3496250624
289	0.3495311523
290	0.3493210225
291	0.3491070351
292	0.3489719777
293	0.3489120998
294	0.3487328304
295	0.3485702772
296	0.3484511429
297	0.3482514499
298	0.3480872679
299	0.3479896717
